Metric,Value
Best Score (QoR),1.4911879148546578
Improvement (%),25.440604257267108
Elapsed Time (s),413.77512645721436

Bit Index,Bit Value
0,1
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,1
