Metric,Value
Best Score (QoR),1.9352361302154972
Improvement (%),3.2381934892251385
Elapsed Time (s),4457.322068929672

Bit Index,Bit Value
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,1
