Metric,Value
Best Score (QoR),1.820180165702138
Improvement (%),8.990991714893104
Elapsed Time (s),26187.120470285416

Bit Index,Bit Value
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,1
78,0
79,0
