Metric,Value
Best Score (QoR),1.8293578911145154
Improvement (%),8.53210544427423
Elapsed Time (s),23789.08435535431

Bit Index,Bit Value
0,0
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,1
79,1
