Metric,Value
Best Score (QoR),1.6861471861471862
Improvement (%),15.69264069264069
Elapsed Time (s),20581.17578458786

Bit Index,Bit Value
0,1
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
