Metric,Value
Best Score (QoR),1.069289537548304
Improvement (%),46.5355231225848
Elapsed Time (s),38296.54909348488

Bit Index,Bit Value
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,0
