Metric,Value
Best Score (QoR),1.0227491170659249
Improvement (%),48.862544146703755
Elapsed Time (s),36229.329275369644

Bit Index,Bit Value
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
