Metric,Value
Best Score (QoR),1.5899885523324224
Improvement (%),20.50057238337888
Elapsed Time (s),16711.05048274994

Bit Index,Bit Value
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,0
