Metric,Value
Best Score (QoR),1.6704755443561412
Improvement (%),16.47622278219294
Elapsed Time (s),21734.304955482483

Bit Index,Bit Value
0,1
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
