Metric,Value
Best Score (QoR),1.827993634634297
Improvement (%),8.600318268285145
Elapsed Time (s),5896.228142499924

Bit Index,Bit Value
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
