Metric,Value
Best Score (QoR),1.918462478985175
Improvement (%),4.076876050741252
Elapsed Time (s),1699.2520072460175

Bit Index,Bit Value
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
