Metric,Value
Best Score (QoR),1.3686160027623442
Improvement (%),31.56919986188279
Elapsed Time (s),291.5265781879425

Bit Index,Bit Value
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,1
36,1
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,1
