iteration,best_qor
0,1.973062815222375
1,1.973062815222375
2,1.973062815222375
3,1.9682485098578635
4,1.9682485098578635
5,1.9682485098578635
6,1.9682485098578635
7,1.9682485098578635
8,1.9682485098578635
9,1.9682485098578635
10,1.9682485098578635
11,1.9675607519486475
12,1.9675607519486475
13,1.9675607519486475
14,1.9565566254011921
15,1.9565566254011921
16,1.9565566254011921
17,1.9565566254011921
18,1.9565566254011921
19,1.9565566254011921
20,1.9565566254011921
21,1.9503668042182483
22,1.9503668042182483
23,1.9503668042182483
24,1.9503668042182483
25,1.9503668042182483
26,1.9503668042182483
27,1.9503668042182483
28,1.9503668042182483
29,1.9503668042182483
30,1.9503668042182483
31,1.9503668042182483
32,1.9503668042182483
33,1.9503668042182483
34,1.9503668042182483
35,1.9503668042182483
36,1.9503668042182483
37,1.9503668042182483
38,1.9503668042182483
39,1.9503668042182483
40,1.9503668042182483
41,1.9503668042182483
42,1.9503668042182483
43,1.941425951398441
44,1.941425951398441
45,1.941425951398441
46,1.941425951398441
47,1.941425951398441
48,1.941425951398441
49,1.941425951398441
50,1.941425951398441
51,1.941425951398441
52,1.941425951398441
53,1.941425951398441
54,1.941425951398441
55,1.941425951398441
56,1.941425951398441
57,1.941425951398441
58,1.941425951398441
59,1.941425951398441
60,1.941425951398441
61,1.9198379948036068
62,1.9198379948036068
63,1.9198379948036068
64,1.9198379948036068
65,1.9198379948036068
66,1.9198379948036068
67,1.9198379948036068
68,1.9198379948036068
69,1.9198379948036068
70,1.9198379948036068
71,1.9198379948036068
72,1.9198379948036068
73,1.9198379948036068
74,1.9198379948036068
75,1.9198379948036068
76,1.9198379948036068
77,1.9198379948036068
78,1.9198379948036068
79,1.9198379948036068
80,1.9198379948036068
81,1.918462478985175
82,1.918462478985175
83,1.918462478985175
84,1.918462478985175
85,1.918462478985175
86,1.918462478985175
87,1.918462478985175
88,1.918462478985175
89,1.918462478985175
90,1.918462478985175
91,1.918462478985175
92,1.918462478985175
93,1.918462478985175
94,1.918462478985175
95,1.918462478985175
96,1.918462478985175
97,1.918462478985175
98,1.918462478985175
99,1.918462478985175
