Metric,Value
Best Score (QoR),1.607734031460359
Improvement (%),19.613298426982052
Elapsed Time (s),3994.3429975509644

Bit Index,Bit Value
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
