iteration,best_qor
0,1.7490728177295343
1,1.7490728177295343
2,1.716404988046779
3,1.716404988046779
4,1.7150190605414486
5,1.7150190605414486
6,1.7150190605414486
7,1.7150190605414486
8,1.7150190605414486
9,1.7150190605414486
10,1.7150190605414486
11,1.7150190605414486
12,1.7132422304064097
13,1.7045842217484009
14,1.7045842217484009
15,1.7045842217484009
16,1.7045842217484009
17,1.7045842217484009
18,1.7045842217484009
19,1.703243522646508
20,1.703243522646508
21,1.703243522646508
22,1.703243522646508
23,1.703243522646508
24,1.703243522646508
25,1.703243522646508
26,1.703243522646508
27,1.703243522646508
28,1.703243522646508
29,1.703243522646508
30,1.703243522646508
31,1.703243522646508
32,1.703243522646508
33,1.703243522646508
34,1.703243522646508
35,1.703243522646508
36,1.703243522646508
37,1.703243522646508
38,1.703243522646508
39,1.703243522646508
40,1.703243522646508
41,1.703243522646508
42,1.703243522646508
43,1.703243522646508
44,1.703243522646508
45,1.703243522646508
46,1.6964624927311494
47,1.6964624927311494
48,1.6964624927311494
49,1.6964624927311494
50,1.6964624927311494
51,1.6964624927311494
52,1.6696840472959875
53,1.6696840472959875
54,1.6696840472959875
55,1.6696840472959875
56,1.6696840472959875
57,1.6696840472959875
58,1.6696840472959875
59,1.6696840472959875
60,1.6696840472959875
61,1.6696840472959875
62,1.6696840472959875
63,1.6696840472959875
64,1.6696840472959875
65,1.6696840472959875
66,1.6696840472959875
67,1.6696840472959875
68,1.6696840472959875
69,1.6696840472959875
70,1.6696840472959875
71,1.6696840472959875
72,1.6696840472959875
73,1.6696840472959875
74,1.6696840472959875
75,1.6696840472959875
76,1.6696840472959875
77,1.6696840472959875
78,1.6696840472959875
79,1.6696840472959875
80,1.6696840472959875
81,1.6696840472959875
82,1.6696840472959875
83,1.6696840472959875
84,1.6696840472959875
85,1.6696840472959875
86,1.6696840472959875
87,1.6696840472959875
88,1.6696840472959875
89,1.6696840472959875
90,1.6696840472959875
91,1.6696840472959875
92,1.6696840472959875
93,1.6696840472959875
94,1.6696840472959875
95,1.6696840472959875
96,1.6696840472959875
97,1.6696840472959875
98,1.6696840472959875
99,1.6696840472959875
