iteration,best_qor
0,1.418620711303638
1,1.398091471262203
2,1.398091471262203
3,1.398091471262203
4,1.398091471262203
5,1.398091471262203
6,1.392943466114198
7,1.392943466114198
8,1.392943466114198
9,1.392943466114198
10,1.392943466114198
11,1.392943466114198
12,1.392943466114198
13,1.392943466114198
14,1.392943466114198
15,1.392943466114198
16,1.3698402234987601
17,1.3698402234987601
18,1.3698402234987601
19,1.3698402234987601
20,1.3698402234987601
21,1.3505352041937408
22,1.3505352041937408
23,1.3505352041937408
24,1.3505352041937408
25,1.3505352041937408
26,1.3505352041937408
27,1.3505352041937408
28,1.3505352041937408
29,1.3505352041937408
30,1.3505352041937408
31,1.3505352041937408
32,1.3505352041937408
33,1.3505352041937408
34,1.3505352041937408
35,1.3505352041937408
36,1.3505352041937408
37,1.3505352041937408
38,1.3505352041937408
39,1.3505352041937408
40,1.3505352041937408
41,1.3505352041937408
42,1.3505352041937408
43,1.3505352041937408
44,1.3505352041937408
45,1.3505352041937408
46,1.3505352041937408
47,1.3505352041937408
48,1.3505352041937408
49,1.3505352041937408
50,1.3505352041937408
51,1.3505352041937408
52,1.3505352041937408
53,1.3505352041937408
54,1.3505352041937408
55,1.3505352041937408
56,1.3505352041937408
57,1.3505352041937408
58,1.3505352041937408
59,1.3505352041937408
60,1.3505352041937408
61,1.3505352041937408
62,1.3505352041937408
63,1.3505352041937408
64,1.3505352041937408
65,1.3505352041937408
66,1.3505352041937408
67,1.3505352041937408
68,1.3505352041937408
69,1.3505352041937408
70,1.3505352041937408
71,1.3505352041937408
72,1.3505352041937408
73,1.3505352041937408
74,1.3505352041937408
75,1.3505352041937408
76,1.3505352041937408
77,1.3505352041937408
78,1.3505352041937408
79,1.3505352041937408
80,1.3505352041937408
81,1.3505352041937408
82,1.3505352041937408
83,1.3505352041937408
84,1.3505352041937408
85,1.3505352041937408
86,1.3505352041937408
87,1.3505352041937408
88,1.3505352041937408
89,1.3505352041937408
90,1.3505352041937408
91,1.3505352041937408
92,1.3505352041937408
93,1.3505352041937408
94,1.3505352041937408
95,1.3505352041937408
96,1.3505352041937408
97,1.3505352041937408
98,1.3505352041937408
99,1.3505352041937408
