Metric,Value
Best Score (QoR),1.2265822784810125
Improvement (%),38.670886075949376
Elapsed Time (s),5583.684196472168

Bit Index,Bit Value
0,1
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,0
