iteration,best_qor
0,1.5428397039749753
1,1.53505760280766
2,1.53505760280766
3,1.53505760280766
4,1.5188830395971618
5,1.5188830395971618
6,1.5188830395971618
7,1.5188830395971618
8,1.4994277866788739
9,1.4994277866788739
10,1.4994277866788739
11,1.4994277866788739
12,1.4994277866788739
13,1.4994277866788739
14,1.4994277866788739
15,1.4994277866788739
16,1.4994277866788739
17,1.4994277866788739
18,1.4994277866788739
19,1.4994277866788739
20,1.4994277866788739
21,1.4877546349279012
22,1.4877546349279012
23,1.4877546349279012
24,1.4877546349279012
25,1.4877546349279012
26,1.4877546349279012
27,1.4877546349279012
28,1.4877546349279012
29,1.4877546349279012
30,1.4877546349279012
31,1.4877546349279012
32,1.4877546349279012
33,1.4877546349279012
34,1.4877546349279012
35,1.4877546349279012
36,1.4877546349279012
37,1.4877546349279012
38,1.4877546349279012
39,1.4877546349279012
40,1.4877546349279012
41,1.4877546349279012
42,1.4877546349279012
43,1.4877546349279012
44,1.4877546349279012
45,1.4877546349279012
46,1.4877546349279012
47,1.4877546349279012
48,1.4877546349279012
49,1.4877546349279012
50,1.4877546349279012
51,1.4877546349279012
52,1.4877546349279012
53,1.4877546349279012
54,1.4877546349279012
55,1.4877546349279012
56,1.4877546349279012
57,1.4877546349279012
58,1.4877546349279012
59,1.4877546349279012
60,1.4877546349279012
61,1.4877546349279012
62,1.4877546349279012
63,1.4877546349279012
64,1.4877546349279012
65,1.4877546349279012
66,1.4877546349279012
67,1.4877546349279012
68,1.4877546349279012
69,1.4877546349279012
70,1.4877546349279012
71,1.4877546349279012
72,1.4877546349279012
73,1.4877546349279012
74,1.4877546349279012
75,1.4877546349279012
76,1.4877546349279012
77,1.4877546349279012
78,1.4877546349279012
79,1.4877546349279012
80,1.4877546349279012
81,1.4877546349279012
82,1.4877546349279012
83,1.4877546349279012
84,1.4877546349279012
85,1.4877546349279012
86,1.4877546349279012
87,1.4877546349279012
88,1.4877546349279012
89,1.4877546349279012
90,1.4877546349279012
91,1.4877546349279012
92,1.4877546349279012
93,1.4877546349279012
94,1.4877546349279012
95,1.4877546349279012
96,1.4877546349279012
97,1.4877546349279012
98,1.4877546349279012
99,1.4877546349279012
