iteration,best_qor
0,1.655657985784484
1,1.6492358123858022
2,1.6492358123858022
3,1.6492358123858022
4,1.6492358123858022
5,1.6492358123858022
6,1.6429826435502437
7,1.6429826435502437
8,1.6429826435502437
9,1.6429826435502437
10,1.6429826435502437
11,1.632564947178102
12,1.632564947178102
13,1.632564947178102
14,1.632564947178102
15,1.632564947178102
16,1.6215318190949648
17,1.6215318190949648
18,1.6215318190949648
19,1.6215318190949648
20,1.6215318190949648
21,1.59353764815801
22,1.59353764815801
23,1.59353764815801
24,1.59353764815801
25,1.59353764815801
26,1.59353764815801
27,1.59353764815801
28,1.59353764815801
29,1.59353764815801
30,1.59353764815801
31,1.59353764815801
32,1.59353764815801
33,1.59353764815801
34,1.59353764815801
35,1.59353764815801
36,1.59353764815801
37,1.59353764815801
38,1.59353764815801
39,1.59353764815801
40,1.59353764815801
41,1.5871154747593281
42,1.5871154747593281
43,1.5871154747593281
44,1.5871154747593281
45,1.5871154747593281
46,1.5871154747593281
47,1.5871154747593281
48,1.5871154747593281
49,1.5871154747593281
50,1.5871154747593281
51,1.5871154747593281
52,1.5871154747593281
53,1.5871154747593281
54,1.5871154747593281
55,1.5871154747593281
56,1.5871154747593281
57,1.5871154747593281
58,1.5871154747593281
59,1.5871154747593281
60,1.5871154747593281
61,1.580463710256026
62,1.580463710256026
63,1.580463710256026
64,1.580463710256026
65,1.580463710256026
66,1.580463710256026
67,1.580463710256026
68,1.580463710256026
69,1.580463710256026
70,1.580463710256026
71,1.580463710256026
72,1.580463710256026
73,1.580463710256026
74,1.580463710256026
75,1.580463710256026
76,1.580463710256026
77,1.580463710256026
78,1.580463710256026
79,1.580463710256026
80,1.580463710256026
81,1.5668349271845434
82,1.5668349271845434
83,1.5668349271845434
84,1.5668349271845434
85,1.5668349271845434
86,1.5668349271845434
87,1.5668349271845434
88,1.5668349271845434
89,1.5668349271845434
90,1.5668349271845434
91,1.5668349271845434
92,1.5668349271845434
93,1.5668349271845434
94,1.5668349271845434
95,1.5668349271845434
96,1.5668349271845434
97,1.5668349271845434
98,1.5668349271845434
99,1.5668349271845434
