iteration,best_qor
0,1.271139240506329
1,1.271139240506329
2,1.271139240506329
3,1.271139240506329
4,1.271139240506329
5,1.271139240506329
6,1.271139240506329
7,1.271139240506329
8,1.271139240506329
9,1.271139240506329
10,1.271139240506329
11,1.271139240506329
12,1.271139240506329
13,1.271139240506329
14,1.271139240506329
15,1.270886075949367
16,1.270886075949367
17,1.2559493670886075
18,1.2559493670886075
19,1.2559493670886075
20,1.2559493670886075
21,1.2559493670886075
22,1.2559493670886075
23,1.2559493670886075
24,1.2559493670886075
25,1.2559493670886075
26,1.2559493670886075
27,1.2559493670886075
28,1.2559493670886075
29,1.2559493670886075
30,1.2559493670886075
31,1.2559493670886075
32,1.2559493670886075
33,1.2397468354430379
34,1.2397468354430379
35,1.2397468354430379
36,1.2397468354430379
37,1.2397468354430379
38,1.2397468354430379
39,1.2397468354430379
40,1.2397468354430379
41,1.2397468354430379
42,1.2397468354430379
43,1.2397468354430379
44,1.2397468354430379
45,1.2397468354430379
46,1.2397468354430379
47,1.2397468354430379
48,1.2397468354430379
49,1.2397468354430379
50,1.2397468354430379
51,1.2397468354430379
52,1.2397468354430379
53,1.2397468354430379
54,1.2397468354430379
55,1.2397468354430379
56,1.2397468354430379
57,1.2397468354430379
58,1.2397468354430379
59,1.2397468354430379
60,1.2397468354430379
61,1.2397468354430379
62,1.2397468354430379
63,1.2397468354430379
64,1.2397468354430379
65,1.2397468354430379
66,1.2397468354430379
67,1.2397468354430379
68,1.2397468354430379
69,1.2397468354430379
70,1.2397468354430379
71,1.2397468354430379
72,1.2397468354430379
73,1.2397468354430379
74,1.2397468354430379
75,1.2397468354430379
76,1.2397468354430379
77,1.2397468354430379
78,1.2397468354430379
79,1.2397468354430379
80,1.2397468354430379
81,1.2397468354430379
82,1.2397468354430379
83,1.2397468354430379
84,1.2397468354430379
85,1.2397468354430379
86,1.2397468354430379
87,1.2397468354430379
88,1.2397468354430379
89,1.2397468354430379
90,1.2397468354430379
91,1.2397468354430379
92,1.2397468354430379
93,1.2397468354430379
94,1.2397468354430379
95,1.2397468354430379
96,1.2397468354430379
97,1.2397468354430379
98,1.2397468354430379
99,1.2397468354430379
