Metric,Value
Best Score (QoR),1.934280910897142
Improvement (%),3.285954455142903
Elapsed Time (s),1098.5607845783234

Bit Index,Bit Value
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,1
