Metric,Value
Best Score (QoR),1.0420390774078803
Improvement (%),47.89804612960599
Elapsed Time (s),37613.85166168213

Bit Index,Bit Value
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,0
