Metric,Value
Best Score (QoR),1.4760814831769284
Improvement (%),26.195925841153578
Elapsed Time (s),476.03682684898376

Bit Index,Bit Value
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
