Metric,Value
Best Score (QoR),1.5867774656330815
Improvement (%),20.661126718345923
Elapsed Time (s),15116.465811252594

Bit Index,Bit Value
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,0
77,1
78,1
79,1
