iteration,best_qor
0,2.2306190093551543
1,2.2306190093551543
2,2.2306190093551543
3,2.2306190093551543
4,2.2306190093551543
5,2.2306190093551543
6,2.2306190093551543
7,2.2306190093551543
8,2.2306190093551543
9,2.2306190093551543
10,2.2306190093551543
11,2.2306190093551543
12,2.2306190093551543
13,2.2306190093551543
14,2.2306190093551543
15,2.2306190093551543
16,2.1835880220914414
17,2.1835880220914414
18,2.1835880220914414
19,2.1835880220914414
20,2.1835880220914414
21,2.1835880220914414
22,2.1835880220914414
23,2.1835880220914414
24,2.1835880220914414
25,2.1835880220914414
26,2.1835880220914414
27,2.1835880220914414
28,2.1835880220914414
29,2.1835880220914414
30,2.1835880220914414
31,2.1835880220914414
32,2.1835880220914414
33,2.1835880220914414
34,2.1835880220914414
35,2.1835880220914414
36,2.1835880220914414
37,2.1835880220914414
38,2.1835880220914414
39,2.1835880220914414
40,2.1835880220914414
41,2.1835880220914414
42,2.1835880220914414
43,2.1835880220914414
44,2.1835880220914414
45,2.1835880220914414
46,2.1835880220914414
47,2.1835880220914414
48,2.1835880220914414
49,2.1835880220914414
50,2.1835880220914414
51,2.1835880220914414
52,2.1835880220914414
53,2.1835880220914414
54,2.1835880220914414
55,2.1835880220914414
56,2.1835880220914414
57,2.1835880220914414
58,2.1835880220914414
59,2.1835880220914414
60,2.1835880220914414
61,2.1835880220914414
62,2.1835880220914414
63,2.1835880220914414
64,2.1835880220914414
65,2.1835880220914414
66,2.1835880220914414
67,2.1835880220914414
68,2.1835880220914414
69,2.1835880220914414
70,2.1835880220914414
71,2.1835880220914414
72,2.1835880220914414
73,2.1835880220914414
74,2.1835880220914414
75,2.1835880220914414
76,2.1448545759327708
77,2.0510101150530002
78,2.0510101150530002
79,2.0510101150530002
80,2.0510101150530002
81,2.0510101150530002
82,2.0510101150530002
83,2.0510101150530002
84,1.9699053423851081
85,1.9699053423851081
86,1.9699053423851081
87,1.9699053423851081
88,1.9699053423851081
89,1.9699053423851081
90,1.9699053423851081
91,1.9699053423851081
92,1.9699053423851081
93,1.9699053423851081
94,1.9699053423851081
95,1.9699053423851081
96,1.9699053423851081
97,1.9699053423851081
98,1.9699053423851081
99,1.9699053423851081
100,1.9699053423851081
