Metric,Value
Best Score (QoR),1.5722430732044859
Improvement (%),21.387846339775706
Elapsed Time (s),17391.637308359146

Bit Index,Bit Value
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,0
79,0
