Metric,Value
Best Score (QoR),1.333804187462724
Improvement (%),33.3097906268638
Elapsed Time (s),1267.1108767986298

Bit Index,Bit Value
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
