Metric,Value
Best Score (QoR),1.2258227848101266
Improvement (%),38.70886075949367
Elapsed Time (s),12251.540912866592

Bit Index,Bit Value
0,1
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
